Category,Price Range (INR),Referral Fee Percentage
Luggage - Suitcase & Trolleys,<= 500,7.50%
Luggage - Suitcase & Trolleys,> 500 and <= 1000,6.50%
Luggage - Suitcase & Trolleys,> 1000,5.50%
Luggage - Travel Accessories,<= 300,10.00%
Luggage - Travel Accessories,> 300 and <= 500,9.00%
Luggage - Travel Accessories,> 500 and <= 1000,10.00%
Luggage - Travel Accessories,> 1000,12.00%
Kids shoes,<= 300,10.00%
Kids shoes,> 300 and <= 1000,14.00%
Kids shoes,> 1000,16.00%
Shoes,<= 300,15.00%
Shoes,> 300 and <= 1000,14.50%
Shoes,> 1000,16.50%
Shoes - Sandals & Floaters,All,10.50%
Wallets,<= 500,10.00%
Wallets,> 500 and <= 1000,12.50%
Wallets,> 1000,14.00%
Watches,All,14%
Cables and Adapters,<= 300,21.50%
Cables and Adapters,> 300 and <= 500,17.00%
Cables and Adapters,> 500,20.00%
Camera Accessories,<= 500,11.00%
Camera Accessories,> 500 and <= 1000,12.50%
Camera Accessories,> 1000,13.50%
Camera Lenses,All,7%
Camera and Camcorder,All,5%
Cases Covers Skins Screen Guards,<= 150,3.00%
Cases Covers Skins Screen Guards,> 150 and <= 300,15.00%
Cases Covers Skins Screen Guards,> 300 and <= 500,22.00%
Cases Covers Skins Screen Guards,> 500,25.00%
Desktops,All,8%
Electronic Accessories,All,17%
Electronic Devices,All,9%
Entertainment Collectibles,<= 300,13%
Entertainment Collectibles,> 300,17%
Fashion Smartwatches,All,15.50%
GPS Devices,All,13.50%
Hard Disks,<= 1000,9.50%
Hard Disks,> 1000,11.50%
Headsets Headphones and Earphones,<= 500,18.00%
Headsets Headphones and Earphones,> 500 and <= 1000,17.50%
Headsets Headphones and Earphones,> 1000,18.00%
Keyboards and Mouse,<= 500,14.00%
Keyboards and Mouse,> 500 and <= 1000,14.50%
Keyboards and Mouse,> 1000,17%
Kindle Accessories,All,25%
Laptop Bags & Sleeves,<= 300,12.00%
Laptop Bags & Sleeves,> 300 and <= 500,10.00%
Laptop Bags & Sleeves,> 500 and <= 1000,12.00%
Laptop Bags & Sleeves,> 1000,14.50%
Laptop and Camera Battery,<= 300,14.00%
Laptop and Camera Battery,> 300 and <= 500,12.50%
Laptop and Camera Battery,> 500 and <= 1000,14.00%
Laptop and Camera Battery,> 1000,15.50%
Laptops,<= 70000,6.00%
Laptops,> 70000,7.00%
Memory Cards,All,16%
Mobile phones,All,5.50%
Tablets,<= 12000,6%
Tablets,> 12000,9%
Modems & Networking Devices,All,14%
Monitors,<= 1000,6.50%
Monitors,> 1000,8.00%
PC Components,All,5.50%
Power Banks & Chargers,<= 1000,20%
Power Banks & Chargers,> 1000,20.50%
Printers & Scanners,<= 500,9.00%
